screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition
bhargavkumar599,0,0,0,0,0,False,0,0,6,Mobile Web (M5),7,N5
mitulmakadia,3,2,4,2,3,False,7,3,6,Statusbrew,6,N1
techto_know,3,1,0,0,4,False,0,0,6,Facebook,5,N6
Brociall881,2,0,4,3,0,False,4,0,5,SocialCloudSuite,6,N5
milan_vishnoi,0,0,0,0,0,False,6,0,0,Twitter Web Client,8,N5
Schuttenrituraj,0,0,0,0,0,False,0,0,0,Twitter for iPhone,2,N5
Shivkum64225738,0,0,0,0,0,False,0,4,0,Mobile Web (M2),8,N5
dhanikpanchal,2,4,2,2,1,False,9,1,6,TweetDeck,4,N9
Chikhlia_,2,4,2,2,1,False,9,1,6,TweetDeck,4,N9
shuklakovid,0,3,2,2,1,False,6,3,3,Twitter Web Client,3,N5
MrsGundhi,0,3,2,2,0,False,2,3,0,TweetDeck,4,N5
akshansh0111,1,1,1,1,2,False,5,4,4,Twitter for Android,7,N0
sakthikumarv,1,2,1,1,2,False,3,2,3,Mobile Web (M5),5,N0
ShaktiSivananda,1,2,3,1,3,False,3,4,3,Twitter for Android,6,N0
SKRinten,3,1,1,1,3,False,8,2,5,Twitter for Windows Phone,4,N0
coolguysmiling,2,3,2,3,1,False,7,2,5,Twitter for Windows,5,N1
RushabhAcharya,2,1,3,0,2,False,2,1,4,Twitter Web Client,6,N6
HZADVIESGROEP,1,0,1,0,3,False,1,0,0,Advieskeuze.nl,5,N6
Gurwinder77777,2,3,0,3,0,False,8,4,0,Twitter Web Client,7,N5
pinakinariwala,2,1,4,2,1,False,7,0,6,Statusbrew,6,N3
AAP_Neel,2,4,2,2,1,False,9,1,4,TweetDeck,4,N9
shiriram15,1,2,0,1,1,False,0,0,5,Twitter for iPhone,3,N0
suvie_chandra,0,3,1,2,0,False,4,1,0,TweetDeck,6,N5
SudhirG97909939,0,1,1,1,0,False,6,3,3,Mobile Web (M5),4,N5
GirishSavant1,2,2,2,2,2,False,7,4,6,Mobile Web (M2),3,N9
sufimastaan,1,2,1,1,4,False,5,2,3,Twitter for Android,5,N0
baijukb,1,0,2,1,2,False,3,2,4,Hootsuite,4,N0
balwant_singh77,4,3,1,3,1,False,9,4,5,Twitter for Android,7,N0
