screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment
soma9935,0,0,0,1,2,False,0,0.0,0.0,None,5
shubham757677,2,9,0,1,15,False,-1,0.0,3.0,Twitter Web Client,7
BolRaghu,8,139,1,538,81,False,-1,0.05,0.4,Twitter for Android,4
rajeshtalvar,246,7065,14,5990,120,False,563.0,33.3,0.25,TweetDeck,5
devenddr42,234,6225,9,5220,106,False,441.0,71.55,0.0,TweetDeck,5
kksarraf,68,287,5,321,1055,False,32.333333333333336,419.35,0.05,Twitter for Android,6
rahulkanwal,2407613,1314,2206,25216,2660,True,23.90909090909091,33.35,88.7,Twitter for iPhone,5
aniljha9901,10,5,0,14,109,False,-1,0.25,0.125,Twitter for Android,5
BKSyngal,410,13,7,1768,178,False,-1,0.95,0.5,Twitter for iPhone,4
AmaanMobilecare,11,28,0,161,26,False,-1,0.0,0.1,Google,6
Sanjeev21265,5,616,0,180,15,False,11.214285714285714,395.45,0.0,Mobile Web (M5),4
DeepakS70930621,3,3,0,7,13,False,21.75,0.0,0.42857142857142855,Mobile Web (M2),6
i_m_pankaj1985,33,131,1,470,186,False,-1,314.6,0.15,Twitter for BlackBerry,5
ritakim1265,1,3,1,4,44,False,2.3333333333333335,48.5,0.5,Twitter Web Client,5
sksignh4,2,0,0,1,53,False,1.0,0.0,0.0,Twitter Web Client,7
mknehra47,1,0,0,1,14,False,-1,0.0,0.0,Twitter Web Client,5
naveenbebra,1395,128808,109,171731,233,False,54.666666666666664,379.45,0.0,Twitter for Android,4
sujitmohan88,183,871,7,251,129,False,25.0,13.0,0.55,Twitter for iPhone,5
Vel_Veer,36,3250,24,3306,230,False,8.666666666666666,370.95,0.0,Twitter for iPhone,4
manjunath_mcm,75,3384,9,3072,723,False,24.333333333333332,542.3,0.0,Twitter for Android,5
AAPlogical,10595,80778,288,495554,2415,False,1.0,153.75,0.0,Twitter for Android,5
rockdgod,624,9466,37,54396,2418,False,72.63636363636364,15.95,0.0,Twitter for Android,5
Bhaskarsri,69,880,7,4055,285,False,89.55555555555556,313.5,0.0,Twitter for iPhone,5
imronyveer,82,1261,2,2032,140,False,19.25,1349.9,0.0,Twitter for Android,6
TaherMdSaheb,666,5743,39,26990,421,False,57.0,48.85,0.0,Twitter for Android,4
amitat775,40,179,1,131,492,False,16.0,452.4,0.15,Twitter for Android,5
gmartin,896,915,80,36180,502,False,1.0,32.6,5.1,Twitter for Android,4
Kmoeti,3648,3254,119,9160,1971,False,3.0,239.5,1.15,Twitter for iPhone,4
grabsiva,218,9770,19,20808,424,False,60.333333333333336,119.15,0.0,Twitter for iPhone,5
SnTivari,20,434,1,226,117,False,73.5,9.7,0.4,Twitter for Android,4
roohanitaakath,92,11971,32,12667,195,False,2.75,2592.1,0.0,Mobile Web (M5),4
Srishti17051748,93,6976,6,4271,27,False,14.636363636363637,280.75,0.0,Twitter for Android,5
CitizensPoV,1396,23215,47,58303,1610,False,-1,74.55,1.05,Twitter Web Client,4
khalidmfp,14688,98201,71,86100,605,False,48.25,50.55,4.2,Twitter for iPhone,5
AnkitSi83514178,127,11656,8,6773,491,False,14.777777777777779,632.4,0.35,Twitter for Android,6
sallyhbrooks,969,2709,118,25871,1372,False,24.0,616.65,0.1,Twitter Web Client,5
HarinarayanSi14,51,2855,1,1224,169,False,20.0,37.0,0.25,Twitter for Android,5
goggabachchan,1786,31207,172,103908,567,False,152.0,71.0,0.0,Twitter for Android,5
dandapat_mukesh,198,2962,17,8095,689,False,24.6,757.9,0.15,Twitter for iPhone,5
sudhans32045640,34,192,0,358,236,False,2.0,308.15,0.0,Twitter for Windows,4
PratyushMisra1,44,2961,7,2297,233,False,25.285714285714285,6458.45,0.0,Twitter for Android,5
agarwalsachinsk,161,2147,104,25069,447,False,6.777777777777778,129.75,0.0,Twitter for Android,5
MumbaiAmchi,96,23579,25,17990,276,False,73.25,81.25,0.0,Twitter for Android,4
Arjun_garva,9,28,0,173,40,False,24.5,829.6,0.0,Twitter for Android,6
polticalquest,2304,6186,104,46086,2875,False,126.4,13.95,0.15,Twitter for Android,4
Indialaws,934,69,32,10857,456,False,2.0,0.0,0.0,IFTTT,5
jeetukawde786,6,5,1,3,98,False,29.5,45.8,0.2,Mobile Web (M2),4
kin72408974,3,13,0,4,12,False,-1,631.75,0.0,Twitter for Android,7
ZAFARAL40840517,1,1,0,4,34,False,-1,0.0,0.0,Twitter for Android,4
Santosh24405679,1,0,0,1,26,False,-1,0.0,0.0,Twitter for Android,7
bhatti_gurman,84,33,11,5714,138,False,5.0,329.95,0.0,Twitter for iPhone,6
tejprakash40,42,2980,8,3115,215,False,95.33333333333333,219.7,0.0,Twitter for Android,5
lazybsingh,76,1907,4,19881,42,False,-1,0.1,0.05,Twitter for Android,4
RoflAAPiyan,1630,1600,15,10467,158,False,18.666666666666668,42.8,0.15,Twitter for Android,4
love_khajuria,55,2030,0,558,136,False,70.27272727272727,41.8,2.5,Twitter for Android,5
RounaqNeroy,89,308,10,1595,102,False,8.4,6.5,0.05,Twitter for iPhone,5
RahulJaiss,75,34,1,740,159,False,29.8,14.55,0.25,Twitter Web Client,6
sunita1872339,12,1733,0,1747,28,False,239.66666666666666,29081.85,0.0,Twitter for Android,7
sachdevasonam27,254,1594,4,21892,96,False,242.94117647058823,14434.75,0.05,Twitter for Android,8
SuratAirportSTV,1425,3951,156,10417,2796,False,3.5172413793103448,4.15,0.0,Twitter Web Client,5
MusafirNamah,11195,529,319,9587,495,False,2.9508196721311477,0.15,0.4,Twitter Web Client,5
swedish_jade,0,177,0,645,22,False,9.666666666666666,3216.85,0.0,Twitter Web Client,3
TeestaSetalvad,32224,6,230,5452,87,False,-1,11.75,3.4,Twitter Web Client,3
