screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition,trust
SecureKrish,0,0,0,0,0,False,1,0,4,Twitter for iPhone,3,N7,1
Vishal94040035,0,0,0,0,0,False,6,1,0,Mobile Web (M2),3,N7,1
Rahulsingh_sudh,0,0,0,0,0,False,0,0,3,Facebook,6,N7,1
bookcomplaint,2,0,2,3,0,False,0,0,3,Google,4,N1,4
ritakim1265,0,0,0,0,0,False,2,2,5,Twitter Web Client,5,N7,1
Ajayksha,2,4,2,2,2,False,9,2,5,TweetDeck,4,N1,4
TanmayNPatel,4,3,2,2,4,False,8,4,0,Twitter Web Client,7,N2,7
pinakinariwala,2,1,4,2,1,False,7,0,6,Statusbrew,6,N1,4
hackdeal96,4,0,2,1,4,False,0,0,4,IFTTT,6,N2,7
RaviGoyall,1,0,0,0,4,False,0,0,4,Facebook,4,N7,1
probeNSEL,1,2,3,3,1,False,5,1,0,Mobile Web (M5),2,N9,2
satish_angadi12,1,3,1,1,2,False,4,3,6,Twitter for iPhone,5,N0,3
IMSHREESHAIL,0,2,1,1,2,False,3,4,3,Twitter for Android,3,N0,3
rams95963,1,1,0,1,3,False,1,3,4,Mobile Web (M5),3,N7,1
sachdevasonam27,2,2,1,3,1,False,9,4,3,Twitter for Android,8,N0,3
riju_1448,0,1,3,2,0,False,6,2,0,TweetDeck,5,N6,6
11Kruti,2,4,2,2,1,False,9,3,5,TweetDeck,4,N1,4
Gurwinder77777,2,3,0,3,0,False,8,4,0,Twitter Web Client,7,N7,1
Chinnu538,3,0,1,2,0,False,6,2,6,Twitter Web Client,6,N10,5
Digital_adsLtd,2,3,2,0,2,False,1,1,3,Twitter for iPhone,6,N7,1
asian_reporter,1,0,2,2,3,False,5,0,3,Paper.li,4,N1,4
sobuluv,4,0,2,1,4,False,6,1,0,Twitter for Android,7,N2,7
tamil_vijaybro,1,3,1,0,3,False,4,0,6,Twitter for iPhone,5,N7,1
chandu1085,1,2,1,1,2,False,7,2,4,Twitter for Windows,4,N0,3
viswan9,0,1,1,1,1,False,0,0,4,Twitter for iPad,5,N0,3
princerai62,2,2,0,1,4,False,3,4,5,Twitter for Android,6,N7,1
prasanna_chem,0,1,1,0,2,False,2,1,3,fllwrs,4,N7,1
RajkBhandari13,0,1,2,2,1,False,8,3,0,Twitter Web Client,3,N1,4
DassCharn,2,3,0,3,1,False,8,4,0,Twitter Web Client,7,N7,1
sparsh92920074,3,2,0,2,0,False,9,4,4,Twitter for Android,6,N7,1
coolguysmiling,2,3,2,3,1,False,7,2,5,Twitter for Windows,5,N1,4
slideme_news,0,0,2,2,0,False,0,0,3,dlvr.it,6,N7,1
aposhatwar,1,2,3,1,2,False,4,1,0,Twitter for Android,7,N0,3
HZADVIESGROEP,1,0,1,0,3,False,1,0,0,Advieskeuze.nl,5,N7,1
rajeshdilliwale,1,3,2,2,2,False,9,2,6,TweetDeck,4,N1,4
dubeyyjd,2,0,1,1,4,False,5,3,3,Twitter for iPhone,5,N0,3
RajeevBanduni,2,1,4,1,3,False,6,4,3,Twitter for iPhone,6,N0,3
TNBJPITCELL,3,2,1,0,0,False,3,3,6,Twitter for Android,5,N7,1
Siddhu381,1,4,1,1,2,False,0,1,5,Twitter Web Client,4,N0,3
MoinHeera,0,1,1,2,1,False,1,4,0,Twitter for Windows,3,N0,3
Gurlalsinghins4,0,1,0,2,1,False,9,4,4,Twitter for Android,7,N7,1
shubham2266,2,3,2,2,1,False,8,2,6,Mobile Web (M2),4,N1,4
TweetDonga,2,2,2,4,2,False,7,4,3,Mobile Web (M5),6,N1,4
tk24dutta_india,1,1,2,3,0,False,0,0,0,Twitter Web Client,3,N0,3
Official_IILD,1,0,3,1,1,False,4,0,4,Twitter Web Client,6,N0,3
anjumahendroo,4,4,2,2,1,False,6,2,0,Twitter for iPad,5,N2,7
kaushalsingla2k,1,3,0,1,2,False,7,3,5,Twitter for iPhone,5,N0,3
rajan_gandhi,2,0,1,2,3,False,6,0,3,Facebook,4,N1,4
amol_kulk,2,2,4,1,2,False,5,1,6,Twitter for Android,6,N0,3
Ritu_Dey,1,1,1,0,2,False,3,3,3,Twitter for iPhone,7,N0,3
ModiNamoallday,0,2,1,1,0,False,9,1,0,TweetDeck,6,N0,3
_abhisingh_,4,1,1,2,3,False,1,4,5,Twitter for Android,5,N0,3
MrsGundhi,0,3,2,2,0,False,2,3,0,TweetDeck,4,N1,4
PreetIn00536904,2,2,2,4,1,False,9,4,3,Twitter for Android,7,N1,4
11patelmukesh,1,3,1,3,1,False,0,0,0,Twitter Web Client,3,N0,3
baijukb,1,0,2,1,2,False,3,2,4,Hootsuite,4,N0,3
Manpreetshallu1,0,4,0,2,0,False,7,4,0,Twitter for Android,7,N7,1
digitallguru,1,0,1,0,1,False,4,2,4,Twitter for iPhone,5,N7,1
onehobbit,2,1,2,2,4,False,7,4,3,Twitter for iPad,4,N1,4
WhatPardeepSays,2,2,1,1,3,False,5,3,5,Twitter for Windows,6,N0,3
howzzattt,1,0,0,1,2,False,6,1,5,Twitter Web Client,5,N7,1
sharmasioc,1,1,1,0,0,False,2,1,6,Twitter for iPhone,6,N7,1
BJP4Ktka,2,1,1,1,2,False,3,0,6,IFTTT,5,N0,3
shuklakovid,0,3,2,2,1,False,6,3,3,Twitter Web Client,3,N1,4
nishaninsan911,1,2,2,3,0,False,9,4,0,Twitter for Windows Phone,7,N0,3
NarananNambi,4,3,2,2,3,False,6,4,3,Twitter for Android,4,N2,7
gokul64,2,0,1,3,1,False,0,0,0,Facebook,5,N1,4
Amangera2012,1,2,0,1,2,False,4,2,0,Mobile Web (M5),4,N0,3
SandeepUniyal4,2,4,1,2,0,False,8,3,4,Twitter for Android,6,N0,3
saisasankparimi,1,1,2,0,1,False,7,2,0,ib_devops,6,N7,1
malujagdish,2,3,2,1,3,False,1,2,5,Twitter for Android,7,N1,4
vickygovar,1,2,0,2,3,False,3,3,4,Twitter for iPhone,4,N7,1
charanj60362600,0,0,1,1,0,False,6,0,4,Raid for Android,6,N7,1
AnujTodi,1,2,1,0,2,False,4,1,6,Twitter for iPhone,5,N0,3
ShuvaRaha,2,1,3,1,1,False,5,1,0,Twitter Web Client,6,N0,3
GirishSavant1,2,2,2,2,2,False,7,4,6,Mobile Web (M2),3,N1,4
poovaiah_sunil,0,1,2,2,1,False,0,0,3,Twitter for Windows Phone,5,N1,4
MadanBatra2,2,3,1,3,1,False,9,4,5,Twitter for Android,7,N0,3
bilkulsedhibaat,1,0,1,3,0,False,0,0,0,dlvr.it,4,N0,3
Paresh_Luhar,2,4,2,2,2,False,9,3,4,TweetDeck,4,N1,4
Lokesh__Bhavsar,1,3,1,1,4,False,3,4,3,Mobile Web (M5),6,N0,3
Its_me_pervaiz,1,4,0,1,1,False,8,2,3,Twitter for Android,4,N7,1
anshumapandit90,1,3,2,2,3,False,2,3,0,Twitter for Windows,4,N1,4
sharmamaanoj,0,0,1,1,0,False,3,3,5,Twitter Web Client,5,N7,1
finaco_in,1,2,1,0,3,False,6,1,5,Twitter Web Client,5,N0,3
suresh_batha,1,2,3,1,1,False,6,2,0,Twitter for iPhone,6,N0,3
devesh_s_sharma,2,1,2,2,2,False,8,1,6,Twitter Web Client,5,N1,4
sukalyanfouzdar,2,1,2,2,3,False,7,4,3,Twitter for iPhone,7,N1,4
Rajesh40920603,2,3,1,3,1,False,9,4,4,Twitter for Android,7,N0,3
bciitjee,0,0,1,1,0,False,0,0,0,Facebook,5,N7,1
saurabh0406,1,1,0,3,2,False,4,4,4,Twitter for Android,4,N7,1
DrBhanshali,2,3,2,2,2,False,9,2,6,TweetDeck,4,N1,4
jotsekhon11,2,4,0,1,1,False,1,2,3,Twitter for Android,6,N7,1
aanch29,1,2,2,2,3,False,1,4,0,Twitter for iPad,3,N1,4
mobap_gr,0,0,1,1,0,False,4,0,3,IFTTT,5,N7,1
topofficials,1,0,1,0,1,False,3,0,5,Twitter Web Client,5,N7,1
AjmerSufi,1,2,0,1,2,False,0,3,0,Twitter for Windows Phone,6,N0,3
eWalletIndia,1,1,1,0,1,False,6,1,6,Twitter for iPhone,5,N0,3
erkumarktr,2,2,2,2,3,False,2,1,3,Mobile Web (M2),5,N1,4
JasvirSingh7777,2,3,1,3,0,False,8,4,0,Twitter Web Client,7,N0,3
benistonj,2,1,2,1,4,False,3,3,4,Twitter for Android,6,N1,4
jaspreet034,0,1,1,2,0,False,7,4,3,Twitter for Android,8,N0,3
21_tejas,2,3,2,2,1,False,9,1,5,TweetDeck,4,N1,4
TheRohitJadhav,1,0,0,1,2,False,3,2,4,Twitter for Android,6,N7,1
lvkudva,1,3,2,2,3,False,5,4,0,Twitter for Windows Phone,4,N1,4
JSBpune,0,0,1,1,0,False,1,0,3,Facebook,5,N7,1
vka_raj,1,0,1,3,1,False,0,0,4,Twitter Web Client,4,N0,3
_F9_F10,1,2,0,1,2,False,4,3,0,Twitter for Windows,5,N0,3
KottamAkhila,1,1,2,0,2,False,6,2,0,ib_devops,6,N7,1
basucall,2,4,1,2,1,False,6,4,4,Twitter for iPhone,3,N1,4
kaminiinsan26,2,2,1,3,0,False,9,4,0,Twitter for iPhone,7,N0,3
3Shivaravindra,2,4,2,2,1,False,3,1,6,Twitter for Android,7,N1,4
yourzRajesh,1,1,1,1,4,False,7,3,3,Twitter Web Client,5,N0,3
80_ruchita,2,3,2,2,2,False,9,1,6,TweetDeck,5,N1,4
chinmayasnpt9,0,2,1,1,0,False,2,0,5,Twitter for Android,6,N0,3
mhzaman786,1,1,0,1,3,False,2,1,0,Mobile Web (M2),4,N0,3
RakeshDas384,0,3,1,0,2,False,5,4,3,Twitter for Android,6,N7,1
ankushkchauhan,0,0,1,1,1,False,0,0,3,dlvr.it,4,N7,1
ActMatloob,1,0,2,2,0,False,3,2,0,Mobile Web (M5),4,N1,4
MDNJVD,1,2,0,2,2,False,1,0,0,Facebook,5,N7,1
tanayrajput,1,3,3,2,1,False,4,4,4,Twitter for Android,6,N0,3
VGKfan,2,2,2,1,3,False,8,4,4,Twitter for iPhone,6,N1,4
AmarInsan77777,2,3,1,3,1,False,8,4,0,Twitter Web Client,7,N0,3
sivakumar77077,2,1,0,1,1,False,6,3,6,Twitter for Android,5,N7,1
aapumesh,1,3,2,2,1,False,9,2,5,TweetDeck,5,N1,4
deekshasingh89,2,2,1,1,3,False,3,1,4,Twitter Web Client,7,N0,3
Amit_IND_85,1,1,2,3,0,False,2,4,0,Twitter for iPhone,4,N0,3
kksarraf,1,1,1,0,4,False,6,3,3,Twitter for Android,6,N0,3
imgirishkhera,0,0,1,1,0,False,7,0,0,IFTTT,5,N7,1
ShreySoni7,2,3,1,2,2,False,9,1,3,TweetDeck,4,N1,4
DemonLeaks,1,0,2,2,2,False,3,0,3,Paper.li,6,N1,4
ShyamIndoliya,1,2,0,1,2,False,3,2,5,Twitter Web Client,4,N0,3
ismitevijay,2,0,1,2,3,False,0,4,0,Twitter for iPhone,3,N1,4
Gurvinder41777,2,2,2,4,2,False,8,4,3,Twitter for Android,5,N1,4
Rohitjamwal1,1,1,3,1,1,False,4,3,5,Twitter for Android,6,N0,3
suryato6,0,2,2,2,0,False,7,2,0,TweetDeck,5,N1,4
drmaran,2,0,2,1,1,False,3,1,6,Hootsuite,4,N1,4
TanniBadlani,1,1,0,3,0,False,9,4,0,Twitter for Android,7,N7,1
sumedhasobti,1,1,1,0,1,False,6,0,4,Twitter for iPhone,6,N7,1
vgoel28,0,3,1,1,1,False,5,3,0,Twitter Web Client,5,N0,3
amitbhatia99902,2,1,1,1,3,False,2,0,4,Facebook,4,N0,3
suvie_chandra,0,3,1,2,0,False,4,1,0,TweetDeck,6,N6,6
AnitaYa05853817,1,3,2,2,2,False,5,2,5,Twitter for Android,7,N1,4
OurAgra,1,0,1,3,0,False,0,0,3,dlvr.it,5,N0,3
Shikhadudeja1,2,2,0,3,2,False,9,4,3,Twitter for Android,6,N7,1
EraviGopan,1,2,3,1,2,False,0,4,3,Twitter for iPhone,6,N0,3
narutokyuubi22,2,2,2,2,1,False,6,1,3,IFTTT,5,N1,4
RaymondPagnucco,2,0,2,1,1,False,5,3,5,Twitter for iPhone,4,N1,4
Niki3484,1,1,0,2,2,False,7,4,0,Twitter for Android,7,N7,1
buyitdaily,1,1,1,0,3,False,1,0,0,Twitter for Android,7,N0,3
parsanttanwar,0,0,1,1,0,False,4,2,0,Twitter for Windows,5,N7,1
ramiitgrad,0,1,2,1,1,False,2,3,4,Twitter for Android,4,N0,3
Zoyamirr,2,3,1,2,1,False,3,1,6,Twitter for iPhone,5,N1,4
amitc17,1,3,1,2,0,False,7,0,5,Twitter Web Client,6,N0,3
das_debajyoti,1,0,2,1,3,False,4,0,0,Facebook,4,N0,3
ahsiA_Aisha,2,2,0,2,4,False,6,4,4,Twitter for Android,6,N7,1
sandymaan51,1,2,2,3,0,False,9,4,3,Twitter for Android,6,N0,3
GirishRPawar,0,2,1,2,1,False,8,2,3,Twitter Web Client,5,N0,3
aditya_astro,2,0,1,1,4,False,0,1,0,Mobile Web (M2),4,N0,3
kalpit90559171,1,1,2,0,2,False,5,1,5,Twitter for Android,5,N7,1
sachintidke2,1,1,0,1,3,False,1,4,4,Twitter for iPhone,4,N0,3
jurs07,2,4,1,2,2,False,8,3,0,Twitter for iPad,6,N1,4
VisakhaSingh10,0,3,0,1,2,False,6,4,0,Twitter for Android,7,N7,1
arijitu,2,0,1,3,1,False,0,0,3,Facebook,5,N0,3
GamyaPatel,1,3,2,2,1,False,9,1,5,TweetDeck,4,N1,4
santoshdas_2015,0,0,1,2,1,False,3,0,0,IFTTT,7,N7,1
hemantpawar017,1,2,0,1,0,False,2,3,6,Twitter for Android,6,N7,1
puruv,2,2,2,1,3,False,3,4,5,Twitter for iPhone,6,N1,4
PrajaktaGaikw15,1,2,1,0,1,False,5,2,3,Twitter Web Client,6,N0,3
vinurajvarma,2,0,2,1,2,False,4,0,4,Buffer,5,N1,4
rajcerin,1,1,1,2,0,False,0,2,3,Twitter Web Client,4,N0,3
ErnestHugh1,1,1,2,0,1,False,1,4,0,Mobile Web (M2),5,N7,1
dhruvsharmaits1,2,3,1,1,3,False,4,3,0,Twitter for Android,3,N0,3
prometheusknows,1,1,1,1,2,False,6,1,4,Mobile Web (M5),4,N0,3
Neha77771,2,3,1,3,0,False,8,4,0,Twitter for Android,7,N0,3
QuamilMistry,1,3,2,2,1,False,9,1,4,TweetDeck,4,N1,4
Yo_Shobha,0,1,1,2,1,False,1,0,0,None,5,N0,3
sshenolikar,2,1,0,1,3,False,2,4,6,Twitter for Android,6,N7,1
ShaktiSivananda,1,2,3,1,3,False,3,4,3,Twitter for Android,6,N0,3
Hindustan360,1,2,1,0,2,False,7,0,6,Twitter Web Client,5,N0,3
Faridoonfanclub,1,0,2,2,1,False,4,0,6,WordPress.com,6,N7,1
SundeepKPal,0,3,1,1,0,False,7,2,3,Twitter for iPhone,4,N0,3
sambit_93,2,2,2,2,4,False,5,4,0,Twitter for Android,7,N1,4
Khoj_16,2,1,1,1,2,False,0,3,4,Twitter for iPad,5,N0,3
UjjainAbhay,1,3,0,1,1,False,0,1,5,Twitter for iPhone,4,N7,1
navjeet11021999,1,0,1,3,0,False,6,3,4,Twitter for Android,6,N0,3
negishalaka,1,3,1,2,2,False,9,1,5,TweetDeck,4,N0,3
TAKATAKindia,0,1,2,1,2,False,5,2,0,Twitter Web Client,4,N1,4
dharmpaljodha77,2,3,0,2,1,False,8,4,0,Twitter for Android,7,N7,1
sif81,2,0,1,0,3,False,4,3,3,Twitter for Android,5,N7,1
1GABRU,1,1,1,0,3,False,2,0,3,Twitter for iPhone,6,N7,1
