screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition
sachdevasonam27,2,2,1,3,1,False,9,4,3,Twitter for Android,8,N1
harmesgmail,0,0,0,0,0,False,7,3,0,Twitter for Android,7,N3
arunachalamarmy,0,1,0,0,1,False,0,1,4,Google,5,N3
CMPFOIndia,2,0,3,2,0,True,9,2,0,Twitter for Android,5,N1
maksai,1,2,1,1,1,False,1,0,0,None,5,N1
PratyushKanth,4,2,1,1,1,True,4,4,6,Twitter for iPhone,5,N0
jnv_rider,1,3,1,1,4,False,8,2,4,Mobile Web (M5),4,N1
BJP4JnK,4,1,3,3,1,True,7,4,5,TweetDeck,5,N0
PRupala,4,2,3,1,2,True,4,1,6,Twitter for iPhone,6,N0
saabsarkaar9,2,4,3,4,0,False,9,4,3,Twitter for iPad,7,N1
nytimesworld,4,3,4,4,3,True,3,1,6,SocialFlow,3,N0
Nationalistweet,3,4,4,4,3,False,0,0,3,Twitter Web Client,4,N0
amits89,3,1,4,3,4,False,6,3,0,Twitter for Android,6,N1
FreedomWorldMag,4,0,0,0,4,False,0,0,3,Twitter Web Client,4,N3
SweetSneha007,3,4,2,2,2,False,9,2,5,TweetDeck,5,N1
RenuMehta18,0,0,0,0,0,False,6,4,0,Twitter for Android,5,N3
jayantsinha,4,2,4,2,2,True,3,1,6,Hootsuite,6,N0
shramn,2,2,2,3,3,False,3,1,0,Put your button on any page! ,4,N1
PeninsulaQatar,4,1,4,4,1,True,2,0,4,Twitter Web Client,3,N0
arunjaitley,4,0,4,1,2,True,1,3,6,Twitter for iPhone,6,N0
MSGFansClub,4,3,1,3,0,False,9,4,6,Twitter for BlackBerry,7,N0
sheetal_here,3,1,3,4,3,False,5,3,5,Twitter for iPhone,5,N0
Yugvani,4,2,3,4,3,False,4,0,4,dlvr.it,4,N0
shreeraamDG,2,2,4,1,4,False,5,1,3,Track_Autonomous Car_Updates,5,N0
ajnabi_guy,3,4,2,3,3,False,8,2,5,Twitter for Android,4,N1
sudarsansand,4,4,4,2,2,True,2,2,6,Twitter for iPhone,7,N0
jackhakimian,3,1,3,4,4,False,0,4,0,Facebook,5,N1
shirditourism,4,0,1,0,4,False,7,0,0,Twitter for Android,6,N3
IndiaTodayTech,4,0,4,2,0,True,0,1,6,Hootsuite,4,N0
TheCitizen_in,4,3,4,3,1,True,7,0,5,Twitter Web Client,4,N0
SirPareshRawal,4,1,4,1,2,True,2,3,6,Twitter for iPhone,6,N0
magical_munda,4,2,1,2,3,False,6,0,4,Twitter Web Client,7,N0
sangeetainsan10,3,4,1,4,1,False,9,3,6,Twitter for Android,5,N0
DWarwick2,3,1,3,3,4,False,5,0,3,Twitter Web Client,3,N2
VisvyaMedia,2,0,4,4,0,False,5,0,3,IFTTT,5,N0
coolrishsingh,3,2,2,4,3,False,4,1,4,Twitter for Android,5,N1
amitabhk87,4,3,4,3,3,True,4,2,6,Twitter for iPhone,6,N0
JawedTweets,3,4,3,4,4,False,6,2,0,Twitter for iPhone,4,N1
deepikawadekar,4,2,2,1,4,False,0,1,0,WhoUnfollowedMe Org,5,N0
free_thinker,4,1,3,2,3,False,1,1,6,TweetDeck,2,N0
prasanto,4,4,4,4,4,True,9,4,5,Twitter for Android,4,N0
rameshsrivats,4,0,4,3,2,True,6,3,6,Twitter Web Client,6,N0
CHASE_METALS,4,1,1,0,2,False,1,1,4,Twitter Web Client,4,N3
rsprasad,4,3,4,2,3,True,9,3,6,Hootsuite,6,N0
PDQMachines,3,1,4,2,4,False,8,0,5,Buffer,5,N0
IbsenJG,2,0,4,4,1,False,0,0,0,dlvr.it,5,N0
manjeet1632240,3,3,3,4,2,False,5,4,5,Twitter for Android,5,N1
BjpForBihar,4,0,0,1,3,False,0,0,6,Trendveer,3,N3
vikrammann,3,4,4,4,0,False,8,2,4,Twitter for iPhone,4,N0
shaileshraanjan,4,3,2,3,4,False,3,2,0,Twitter for iPhone,6,N1
Nihalhaider7,4,2,3,3,3,False,3,1,0,Twitter for Android,7,N1
INCIndia,4,2,4,4,4,True,7,3,6,TweetDeck,4,N0
WeUttarPradesh,4,1,3,3,0,True,2,0,6,Twitter Web Client,5,N0
Vinkashyap,3,2,4,1,2,False,4,1,3,Twitter Web Client,5,N0
SanjayBragta,4,1,3,2,2,True,7,1,6,Twitter for iPhone,4,N0
