screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition
iLuckyVaibhav,4,3,2,3,2,False,6,1,3,TweetCaster for Android,7,N3
shwetankrocks,4,3,3,2,4,False,7,1,4,Tweet Jukebox,6,N2
rmtrmt99,4,4,3,3,4,False,7,4,4,Twitter for iPhone,4,N3
HarshilGujarati,3,4,4,4,2,False,9,2,5,TweetCaster for Android,4,N6
moiyyad,2,4,3,4,3,False,9,3,0,Twitter for Windows Phone,3,N3
pavan_de,3,4,4,3,4,False,5,3,0,Twitter for iPhone,3,N3
poojamodi27,3,4,2,2,3,False,9,1,5,TweetDeck,4,N2
sanjaykbank,3,3,3,1,4,False,4,1,5,Twitter for iPhone,6,N3
nazrah,3,1,4,4,3,False,7,2,0,Twitter for iPhone,3,N3
azuitshi,3,4,4,4,4,False,8,2,0,Twitter Web Client,6,N6
sunitabajwabjp,0,0,0,0,1,False,0,0,6,Facebook,5,N8
Abhi_ASE,1,0,1,0,2,False,2,0,3,Facebook,5,N8
saharsa_india,2,2,1,1,0,False,4,0,4,Mobile Web (M5),5,N1
PeoplesGovIN,0,0,1,1,0,False,8,4,3,Link account with KUKU.io,6,N8
FarhanHassan16,0,2,0,0,1,False,3,2,6,Twitter for Android,5,N8
GadgetOx,2,1,3,2,0,False,0,0,3,WordPress.com,4,N2
LaxmanShrigire7,3,3,3,3,4,False,5,3,0,Google,6,N3
satishkini,3,0,2,3,2,False,3,1,5,Runkeeper,4,N3
akshayprbhu,2,3,3,3,3,False,4,1,3,Twitter Web Client,6,N3
vukovinski,3,1,4,2,4,False,7,1,0,Digital Transformation Bot,4,N2
arzillion,3,3,4,4,3,False,5,0,4,Dropial App,4,N6
JansimsMathis,1,1,1,0,1,False,1,3,0,Twitter Web Client,5,N1
travadiz,3,4,4,4,1,False,2,0,3,Google,7,N4
vinurajvarma,2,0,2,1,2,False,4,0,4,Buffer,5,N0
caniravkaria,1,2,1,1,2,False,0,0,5,Twitter for Android,6,N1
riju_1448,0,1,3,2,0,False,6,2,0,TweetDeck,5,N2
mohitrathi575,0,0,0,0,0,False,8,0,3,Mobile Web (M5),5,N8
mediaindiagroup,3,2,3,1,4,False,5,1,6,WordPress.com,5,N4
hackdeal96,4,0,2,1,4,False,0,0,4,IFTTT,6,N8
AadarshBalak,4,0,3,4,3,False,7,1,3,Twitter Web Client,6,N4
GetRidofDevils,3,1,2,3,3,False,4,1,3,Twitter for iPhone,4,N3
Nisha_NPU,2,1,4,3,0,False,3,0,4,WordPress.com,4,N3
buyitdaily,1,1,1,0,3,False,1,0,0,Twitter for Android,7,N1
_backlink_,3,0,4,2,1,False,7,1,0,BacklinkBot,6,N2
Fromroshan,2,4,4,4,2,False,1,1,3,Twitter for iPhone,5,N4
amitc17,1,3,1,2,0,False,7,0,5,Twitter Web Client,6,N1
mitra_1709,0,1,3,2,0,False,6,2,0,TweetDeck,5,N2
SureshJha6,0,0,0,0,2,False,2,0,3,Mobile Web (M2),5,N8
motherrr,3,3,2,0,4,False,8,0,6,Twitter for iPad,5,N4
TwittyAunty,2,0,1,1,1,False,3,2,6,Twitter for Android,5,N1
NelizarKhan,3,4,3,4,4,False,2,0,0,Twitter for Android,8,N3
janak64,3,0,2,3,3,False,0,0,4,Facebook,4,N3
AmaranteConsult,2,2,4,1,4,False,3,0,4,Twitter for iPhone,6,N1
akshatjain13,1,1,2,0,1,False,4,0,5,Twitter Web Client,4,N8
PM4India,3,0,1,1,0,False,0,4,0,Twitter for Android,7,N1
Yogesh_Rya,3,4,4,3,3,False,1,1,0,Twitter for Windows Phone,5,N3
kesarwani_vinay,3,3,3,2,4,False,5,1,3,Twitter for Android,6,N2
Kuvam707,0,1,3,2,0,False,6,2,0,TweetDeck,5,N2
BeingWorldian,2,1,1,0,2,False,5,0,4,Mobile Web (M2),6,N8
ilapakurthi,1,0,3,3,0,False,8,3,3,Twitter Web Client,5,N3
Hindustan360,1,2,1,0,2,False,7,0,6,Twitter Web Client,5,N1
Ajeeb_Daastaan,3,3,2,4,3,False,2,0,3,Mobile Web (M5),4,N2
SrkRocksNRules,3,0,0,1,1,False,3,0,5,dlvr.it,4,N8
JessieBottcher,2,0,3,4,0,False,0,0,0,IFTTT,3,N8
Faridoonfanclub,1,0,2,2,1,False,4,0,6,WordPress.com,6,N2
AneerudhNaik,0,0,1,1,1,False,8,3,0,Twitter for iPhone,5,N8
HMOULI,3,4,3,4,4,False,1,1,4,Twitter Web Client,5,N4
JiffyJoseph,3,1,4,3,1,False,6,1,0,ChennaiFloodRescue,5,N3
kesar_62,0,1,3,2,0,False,6,2,0,TweetDeck,5,N2
snehithjalagam,2,1,1,2,2,False,0,0,3,Facebook,4,N2
benmo_44,3,3,3,3,3,False,1,0,5,Mobile Web (M5),6,N3
GyanendraDash2,0,0,1,0,2,False,2,1,4,Twitter Web Client,5,N8
amitsharma5457,1,1,0,0,3,False,3,0,6,Instagram,5,N8
techguard1,3,2,4,4,2,False,8,0,5,IFTTT,6,N4
jarasochoindian,2,0,0,1,0,False,0,0,3,Twitter for Android,3,N8
ChottaGappu,2,0,2,3,0,False,7,0,4,IFTTT,4,N3
das_debajyoti,1,0,2,1,3,False,4,0,0,Facebook,4,N2
hpvarunmehrotra,3,0,3,2,4,False,7,2,0,Twitter for iPhone,5,N3
GeekBoyOfficial,1,1,1,0,1,False,5,0,6,Twitter Web Client,6,N8
debinayak,2,1,3,0,1,False,6,2,4,Twitter for Android,5,N10
vsvadivelfca,3,2,2,2,0,False,0,0,6,Twitter Web Client,7,N2
nashvl,3,4,0,3,4,False,3,0,5,Twitter for iPhone,5,N4
singh_saurabh10,2,0,1,1,0,False,2,1,3,Twitter Web Client,5,N1
Yo_Shobha,0,1,1,2,1,False,1,0,0,None,5,N2
DeepakDubey_,3,1,3,4,2,False,5,0,3,IFTTT,4,N3
sharmamaanoj,0,0,1,1,0,False,3,3,5,Twitter Web Client,5,N8
wfhInd,2,0,4,4,0,False,8,0,0,IFTTT,4,N8
RaviGoyall,1,0,0,0,4,False,0,0,4,Facebook,4,N8
YSirkeck,3,4,2,3,3,False,1,0,5,Facebook,5,N3
sumedhasobti,1,1,1,0,1,False,6,0,4,Twitter for iPhone,6,N8
APLatestNews,3,1,3,4,1,False,2,0,0,Google,6,N3
niksan,3,2,3,2,0,False,1,0,6,Twitter for Android,6,N3
BullaSpeaks,2,4,3,3,3,False,0,0,4,UnFollowSpy,5,N3
secl_cil,2,0,1,1,1,False,8,2,3,Twitter Web Client,5,N1
niranjanspeak,0,0,1,1,1,False,7,2,0,Twitter Web Client,5,N8
WithCongAssamNE,3,1,2,3,2,False,7,0,6,IFTTT,4,N3
enjoytripindia,0,0,1,0,2,False,3,0,5,Twitter Web Client,7,N8
pakista09542502,0,0,0,2,0,False,0,0,3,Google,4,N8
NarIndiraModi,3,0,1,0,0,False,5,1,6,Twitter for Android,5,N8
RahusBharath,1,2,0,2,3,False,1,0,0,Facebook,5,N2
common_man88,1,3,3,4,1,False,5,0,3,IFTTT,5,N4
2tion,3,1,2,4,3,False,1,0,0,Twitter Web Client,6,N3
abhinitk,3,4,3,2,4,False,2,0,5,Facebook,5,N4
MishraKamalN,2,2,4,3,1,False,3,0,0,WordPress.com,5,N3
yuva_dheeraj,3,1,1,1,1,False,3,2,4,Twitter for Android,5,N1
nickatomtiwari1,2,0,0,0,4,False,0,0,0,Twitter for iPhone,6,N8
bookcomplaint,2,0,2,3,0,False,0,0,3,Google,4,N3
KarvyGrowthHub,3,0,2,1,2,False,8,0,6,Twitter Web Client,6,N0
ankushkchauhan,0,0,1,1,1,False,0,0,3,dlvr.it,4,N8
USSD_NPCI,3,0,1,0,0,False,6,1,6,Twitter Web Client,5,N8
MDNJVD,1,2,0,2,2,False,1,0,0,Facebook,5,N2
hashludhiana,3,1,3,2,3,False,7,0,3,IFTTT,4,N2
manisharma9645,3,4,2,4,0,False,9,0,4,Twitter for Android,5,N4
rawal20ke,1,0,0,0,3,False,2,0,5,Mobile Web (M5),5,N8
Apkbox_in,2,1,4,3,2,False,2,0,0,IFTTT,5,N3
Ravi_K_Gupta,1,1,1,1,1,False,3,0,4,Twitter for Android,4,N1
datareign,3,0,3,2,1,False,3,0,5,Hootsuite,6,N0
tk24dutta_india,1,1,2,3,0,False,0,0,0,Twitter Web Client,3,N3
Shaktij615Nath,2,0,0,0,4,False,0,0,3,Twitter Web Client,6,N8
Senthil92511721,0,2,1,1,1,False,1,0,4,Mobile Web (M5),5,N1
Studio4News,3,0,3,4,3,False,6,0,3,dlvr.it,4,N6
Ahsanich,2,4,2,2,2,False,1,0,3,Instagram,5,N2
manishbpl1,3,1,3,2,2,False,5,0,6,Twitter for iPhone,4,N2
watchlatestnews,0,0,0,4,0,False,0,0,0,WordPress.com,4,N8
patilkiran191,3,2,1,0,3,False,5,0,6,Twitter for Android,5,N1
kevinaggett1,3,1,4,3,3,False,8,0,4,IFTTT,5,N4
FrostbiteHelp,1,0,3,1,0,False,7,0,0,IFTTT,6,N8
vasupapa,2,1,1,0,1,False,9,0,5,Twitter for Android,5,N1
agnisvann,1,1,2,2,2,False,3,0,3,Google,5,N2
NatarajanSe,3,0,1,3,4,False,0,0,5,Twitter Web Client,6,N3
Official_IILD,1,0,3,1,1,False,4,0,4,Twitter Web Client,6,N0
harshad_karande,2,0,0,0,1,False,0,0,0,Facebook,4,N8
SeemabAhmed5,3,4,1,2,4,False,1,0,4,Put your button on any page! ,5,N4
indiacause,3,0,3,4,0,False,6,0,3,Facebook,4,N8
rachitnagpal21,0,1,2,0,1,False,5,0,6,Twitter for iPhone,5,N8
cpjoshi66,2,2,1,1,2,False,0,0,6,Twitter for Android,5,N1
JJDadzie,3,1,4,3,3,False,8,0,3,JJD'roid,5,N4
BellaSharma,2,0,3,4,0,False,0,0,0,dlvr.it,4,N3
