screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition
harmesgmail,0,0,0,0,0,False,7,3,0,Twitter for Android,7,N6
jnv_rider,1,3,1,1,4,False,8,2,4,Mobile Web (M5),4,N4
CMPFOIndia,2,0,3,2,0,True,9,2,0,Twitter for Android,5,N8
arunachalamarmy,0,1,0,0,1,False,0,1,4,Google,5,N6
sachdevasonam27,2,2,1,3,1,False,9,4,3,Twitter for Android,8,N4
RenuMehta18,0,0,0,0,0,False,6,4,0,Twitter for Android,5,N6
maksai,1,2,1,1,1,False,1,0,0,None,5,N4
Analyticsindiam,4,1,4,1,1,False,0,0,5,Sprout Social,6,N3
PratyushKanth,4,2,1,1,1,True,4,4,6,Twitter for iPhone,5,N2
reelversion,4,1,1,0,4,False,1,0,4,Twitter Web Client,4,N5
BspUp2017,4,4,3,3,2,False,8,1,6,Twitter Web Client,4,N8
AadarshBalak,4,0,3,4,3,False,7,1,3,Twitter Web Client,6,N3
seemamustafa,4,3,4,3,3,False,6,0,5,Twitter for iPhone,4,N3
mayur_jha,4,3,3,2,2,False,5,3,5,Twitter for Android,5,N4
Shanayak26,4,4,2,3,2,False,2,2,4,Twitter for iPhone,5,N8
MSGFansClub,4,3,1,3,0,False,9,4,6,Twitter for BlackBerry,7,N8
sobuluv,4,0,2,1,4,False,6,1,0,Twitter for Android,7,N6
BJP4JnK,4,1,3,3,1,True,7,4,5,TweetDeck,5,N8
thehariarora,4,2,3,4,3,False,0,0,0,IFTTT,6,N3
manuknl,4,0,1,0,0,False,9,2,6,Twitter for Android,6,N6
deepikawadekar,4,2,2,1,4,False,0,1,0,WhoUnfollowedMe Org,5,N4
CHASE_METALS,4,1,1,0,2,False,1,1,4,Twitter Web Client,4,N6
Yugvani,4,2,3,4,3,False,4,0,4,dlvr.it,4,N3
brijwaasi,4,2,4,3,3,False,3,3,3,Twitter Web Client,5,N3
lilliangoa,4,3,4,2,4,False,7,0,5,Twitter Web Client,5,N3
Pranjalc23,4,3,2,2,1,False,8,4,6,Twitter for Android,5,N4
JohnDayal,4,4,4,3,2,False,7,2,5,Twitter Web Client,4,N3
Heenamtaya,4,1,3,3,3,False,6,1,0,Hootsuite,7,N8
ChitraSarwara,4,1,1,0,0,False,5,3,6,Twitter for Android,5,N6
nikhilchopra,4,2,3,2,3,False,6,0,5,Twitter for iPhone,6,N5
shirditourism,4,0,1,0,4,False,7,0,0,Twitter for Android,6,N6
NH_India,4,0,3,1,1,False,4,1,6,TweetDeck,5,N1
RoflAAPiyan,4,2,2,3,2,False,4,1,4,Twitter for Android,4,N8
Hindu_007,4,3,3,4,1,False,2,4,5,Twitter Web Client,4,N3
WePesaWallet,4,1,4,1,4,False,5,2,0,Twitter for iPhone,5,N3
Rag_ivan,4,4,2,4,3,False,0,0,3,Twitter for Android,5,N3
rahulchhawwa,4,1,1,0,4,False,3,1,6,Twitter Web Client,6,N6
pshunglu,4,2,3,2,2,False,4,3,4,Twitter Web Client,4,N4
amitkumarz,4,2,4,3,0,False,6,2,0,Twitter for Android,6,N3
TheGungunSharma,4,1,1,0,0,False,8,4,6,Twitter for Android,5,N6
TharoorianKhan,4,4,3,4,2,False,7,1,5,Twitter for iPad,5,N3
oldkrish,4,2,2,3,3,False,0,0,6,Twitter for iPhone,4,N5
industry40io,4,0,4,3,4,False,5,1,0,i40bot,5,N3
drmfzr,4,3,2,2,2,False,1,1,5,Twitter for Android,5,N4
