screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition
LuisOliverio,3,3,2,3,2,False,1,3,6,Tweetings for Android,4,N9
techto_know,3,1,0,0,4,False,0,0,6,Facebook,5,N4
GirishSavant1,2,2,2,2,2,False,7,4,6,Mobile Web (M2),3,N7
vatsalDMJ,2,2,2,3,3,False,1,3,6,Twitter for Android,3,N7
Kctewari11K,0,0,0,0,0,False,2,3,0,Twitter for Windows,4,N5
Rahulsingh_sudh,0,0,0,0,0,False,0,0,3,Facebook,6,N4
probeNSEL,1,2,3,3,1,False,5,1,0,Mobile Web (M5),2,N6
Gurwinder77777,2,3,0,3,0,False,8,4,0,Twitter Web Client,7,N7
DemonLeaks,1,0,2,2,2,False,3,0,3,Paper.li,6,N6
magical_munda,4,2,1,2,3,False,6,0,4,Twitter Web Client,7,N1
spreadigital,3,2,1,0,3,False,0,0,6,Put your button on any page! ,5,N9
Harshadpatelias,3,3,0,0,3,False,6,4,6,Twitter for Android,5,N9
Rohitjamwal1,1,1,3,1,1,False,4,3,5,Twitter for Android,6,N0
jnv_rider,1,3,1,1,4,False,8,2,4,Mobile Web (M5),4,N0
TheR4hulP4reek,2,1,1,0,4,False,5,2,5,Twitter for iPhone,5,N7
basucall,2,4,1,2,1,False,6,4,4,Twitter for iPhone,3,N7
PreetIn00536904,2,2,2,4,1,False,9,4,3,Twitter for Android,7,N7
prasanna_chem,0,1,1,0,2,False,2,1,3,fllwrs,4,N5
HumChutiye_Hai,0,0,1,1,0,False,9,3,0,TweetDeck,6,N5
Amangera2012,1,2,0,1,2,False,4,2,0,Mobile Web (M5),4,N0
Manpreetshallu1,0,4,0,2,0,False,7,4,0,Twitter for Android,7,N5
PramodSaxena10,2,0,2,1,1,False,3,2,6,Twitter for iPhone,6,N7
nishaninsan911,1,2,2,3,0,False,9,4,0,Twitter for Windows Phone,7,N6
arijitu,2,0,1,3,1,False,0,0,3,Facebook,5,N7
mohan0917,2,3,0,0,3,False,3,1,3,Twitter for Android,6,N7
IYogeshRana,1,2,3,1,1,False,5,0,6,Twitter Web Client,7,N0
_abhisingh_,4,1,1,2,3,False,1,4,5,Twitter for Android,5,N0
sideude,2,1,1,0,4,False,8,3,5,Twitter Web Client,4,N7
vinayjha_jsr,1,3,1,2,2,False,6,2,4,Twitter Web Client,5,N0
kousikd1,3,2,1,1,4,False,1,0,4,Google,6,N0
akritibhatia01,2,1,1,0,3,False,5,1,5,Twitter for iPhone,4,N7
ramiitgrad,0,1,2,1,1,False,2,3,4,Twitter for Android,4,N5
rakidhfm,0,2,0,1,2,False,4,2,3,Mobile Web (M5),5,N5
s_sethi88,0,3,0,2,0,False,8,4,0,Twitter for Android,7,N5
