screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition
SRUTHISUBASH2,0,0,0,0,0,False,4,4,4,Twitter for Windows Phone,6,N8
Pkunk_,1,2,3,3,1,False,8,3,4,Twitter Web Client,3,N2
rams95963,1,1,0,1,3,False,1,3,4,Mobile Web (M5),3,N8
chmurali1946,1,0,3,2,0,False,3,3,0,Twitter for Windows Phone,5,N4
nikhilchopra,4,2,3,2,3,False,6,0,5,Twitter for iPhone,6,N5
IqbalGrewal1,3,4,1,1,2,False,7,3,6,Twitter for iPhone,6,N1
GadgetOx,2,1,3,2,0,False,0,0,3,WordPress.com,4,N0
iamsalome,2,0,3,4,2,False,1,0,4,Twitter Web Client,4,N5
shreeraamDG,2,2,4,1,4,False,5,1,3,Track_Autonomous Car_Updates,5,N5
38Jalpa,2,3,2,2,1,False,9,2,5,TweetDeck,4,N0
KanubhaiDabhi,3,3,1,1,3,False,5,4,6,Mobile Web (M2),5,N1
suryanraju,1,3,1,1,3,False,8,2,4,Mobile Web (M5),3,N4
abhi2rai,1,0,2,1,2,False,4,4,0,Fenix for Android,5,N4
SarojInsa41,1,1,1,2,1,False,3,3,0,Twitter for Android,6,N4
dwivedimk_ias,4,2,2,2,1,False,6,2,5,Twitter for iPhone,5,N5
10anandrai,2,4,3,4,2,False,7,1,3,Twitter for Android,4,N5
TheSuman,2,1,1,3,0,False,7,3,4,Twitter Web Client,4,N0
AmaranteConsult,2,2,4,1,4,False,3,0,4,Twitter for iPhone,6,N5
RohVino,2,4,3,2,3,False,9,1,3,RohVino,4,N0
aanch29,1,2,2,2,3,False,1,4,0,Twitter for iPad,3,N2
SKRinten,3,1,1,1,3,False,8,2,5,Twitter for Windows Phone,4,N1
satish_angadi12,1,3,1,1,2,False,4,3,6,Twitter for iPhone,5,N4
MOOC5,1,0,2,2,2,False,1,0,0,Facebook,5,N4
OVBICanada,1,3,2,1,1,False,8,1,5,Facebook,6,N4
milap009,2,4,3,4,3,False,0,4,3,Twitter for Android,4,N5
imrajesh18,2,1,2,3,2,False,4,3,6,Twitter Web Client,5,N0
android_thing,2,3,3,1,4,False,6,2,4,androidthing,6,N0
iamkaushikraj,2,2,4,2,1,False,2,3,3,Mobile Web (M5),5,N0
InsanJiya,4,3,1,2,3,False,7,4,4,Twitter for Android,7,N5
srsekharbjp,3,2,2,2,3,False,3,1,6,Put your button on any page! ,4,N1
ajay_naina03,1,1,0,1,3,False,0,2,4,Twitter for iPad,4,N8
lastride30,1,1,1,2,2,False,1,2,0,Twitter for Windows,5,N4
RaymondPagnucco,2,0,2,1,1,False,5,3,5,Twitter for iPhone,4,N0
temporary_handl,2,4,3,4,3,False,8,4,3,Twitter for Android,4,N5
visumurugan,2,2,4,1,2,False,4,1,0,VoiceStorm,6,N0
Lokesh__Bhavsar,1,3,1,1,4,False,3,4,3,Mobile Web (M5),6,N4
satish_shetty,2,2,3,1,2,False,2,0,6,Twitter Web Client,5,N0
Mohi8kr,1,3,1,2,1,False,9,1,5,TweetDeck,5,N4
jnsuryaprakash,2,0,3,2,3,False,6,0,4,Paper.li,6,N0
sudheerb2000,1,3,0,2,1,False,7,3,4,Twitter for Android,4,N8
TAKATAKindia,0,1,2,1,2,False,5,2,0,Twitter Web Client,4,N8
Maila_Kameez,2,2,2,3,2,False,1,2,5,Twitter for iPhone,4,N0
sukalyanfouzdar,2,1,2,2,3,False,7,4,3,Twitter for iPhone,7,N0
Americana777,2,4,4,4,3,False,2,3,0,Twitter Web Client,4,N5
SushilJ1960,1,4,1,2,0,False,3,1,4,Mobile Web (M5),5,N4
EraviGopan,1,2,3,1,2,False,0,4,3,Twitter for iPhone,6,N4
teamrrg,1,3,1,1,4,False,2,3,5,Twitter for Android,5,N4
rajan_gandhi,2,0,1,2,3,False,6,0,3,Facebook,4,N0
GameLootTeam,2,3,3,1,1,False,1,1,4,TwitterTrafficMachine,5,N0
